,t,x,trivial,ukf,ukfr,pf
5640,5.6405640564056405,97.457917144163,18.63760229813549,78.4918048365455,78.4918048365455,97.34485241584
5641,5.641564156415642,97.48036524785844,18.637539114165953,78.50795795982032,78.50795795982032,97.36550133524186
5642,5.642564256425643,97.50119139354156,18.634449011708718,78.52858349072494,78.52858349072494,97.38003223941287
5643,5.643564356435643,97.52515459854487,18.63311816762387,78.54920871175386,78.54920871175386,97.40070463969812
5644,5.644564456445645,97.55414971456878,18.631378968410267,78.56983362290589,78.56983362290589,97.42121759441298
5645,5.645564556455645,97.57704724263617,18.63012302029567,78.5904582241808,78.5904582241808,97.44173357571967
5646,5.646564656465647,97.60415060188453,18.630536156637014,78.61108251558107,78.61108251558107,97.46174979140072
5647,5.6475647564756475,97.62153986423796,18.62849299461691,78.631706497104,78.631706497104,97.48225433366773
5648,5.648564856485649,97.64505687993275,18.629073352355725,78.65233016875163,78.65233016875163,97.5031931309061
5649,5.64956495649565,97.65654427975646,18.62836757581916,78.67295353052327,78.67295353052327,97.52401686011352
5650,5.65056505650565,97.68607468313179,18.627002432690336,78.69357658241802,78.69357658241802,97.54451017390282
5651,5.651565156515652,97.70694408700712,18.625467654148547,78.75451995173368,78.75451995173368,97.56475301341898
5652,5.652565256525652,97.72859144082062,18.625387784787076,78.77548478732388,78.77548478732388,97.62401816613323
5653,5.653565356535654,97.74271204722095,18.621156209897993,78.79644930792074,78.79644930792074,97.64482758218878
5654,5.6545654565456545,97.7630926179102,18.61734049117745,78.8174135135273,78.8174135135273,97.66545563213887
5655,5.655565556555656,97.79658978469408,18.61807742268869,78.83837740414242,78.83837740414242,97.6859909269478
5656,5.656565656565657,97.83188606813415,18.617240719520236,78.8593409797677,78.8593409797677,97.70662320558047
5657,5.657565756575657,97.86035160687837,18.61571668019806,78.88030424040153,78.88030424040153,97.727178948203
5658,5.658565856585659,97.87843680986064,18.611612350626917,78.90126718604438,78.90126718604438,97.74809375527357
5659,5.659565956595659,97.8992659752972,18.61325765459603,78.92222981669806,78.92222981669806,97.76895462984407
5660,5.660566056605661,97.9180534607546,18.611355048709452,78.94319213236076,78.94319213236076,97.78970765055509
5661,5.661566156615661,97.9476491992835,18.609643389531385,78.96788030307951,78.96788030307951,97.81044039677755
5662,5.662566256625663,97.96827008417988,18.60831688209675,78.98895388451842,78.98895388451842,97.83456900391367
5663,5.6635663566356635,97.99295880117113,18.6064437857253,79.01002714931906,79.01002714931906,97.85572463421819
5664,5.664566456645664,98.02508151127955,18.606201741726764,79.0311000974807,79.0311000974807,97.87677536594562
5665,5.665566556655666,98.04684626769134,18.60375793722403,79.0521727290029,79.0521727290029,97.89771994122246
5666,5.666566656665666,98.06440166655705,18.60258686908058,79.07324504388816,79.07324504388816,97.91877597794381
5667,5.667566756675668,98.09277972440084,18.601144671195648,79.09431704213375,79.09431704213375,97.9402500296971
5668,5.668566856685668,98.11063303843738,18.598389449815464,79.11538872374263,79.11538872374263,97.96106984539934
5669,5.66956695669567,98.1383347639761,18.59637610057797,79.13646008871456,79.13646008871456,97.98216500834766
5670,5.6705670567056705,98.15939097863874,18.594737087995174,79.15753113704818,79.15753113704818,98.00292908183135
5671,5.671567156715672,98.17070448310105,18.59434782738836,79.1771300280015,79.1771300280015,98.02398292067471
5672,5.672567256725673,98.2060653039464,18.59494071170563,79.19827743811447,79.19827743811447,98.04538631281251
5673,5.673567356735673,98.22219972155231,18.59310511643853,79.21942453047018,79.21942453047018,98.06631620797822
5674,5.674567456745675,98.24865920022104,18.593735202938106,79.24057130506822,79.24057130506822,98.0873777049313
5675,5.675567556755675,98.2674809261054,18.593592848346788,79.26171776190836,79.26171776190836,98.10855327674595
5676,5.676567656765677,98.28708083628507,18.58978674405218,79.2828639009906,79.2828639009906,98.12927280794848
5677,5.6775677567756775,98.31577218343178,18.591224771785495,79.30400972231678,79.30400972231678,98.15036311667053
5678,5.678567856785679,98.33880521772367,18.589693705098302,79.32515522588596,79.32515522588596,98.17153348025018
5679,5.67956795679568,98.35611058541129,18.58799328667964,79.3463004116968,79.3463004116968,98.19271362121727
5680,5.68056805680568,98.38543666566383,18.58686632884787,79.36744527975316,79.36744527975316,98.213517013604
5681,5.681568156815682,98.41696476961582,18.584343422826425,79.45488858551926,79.45488858551926,98.23485942982157
5682,5.682568256825682,98.43229299358298,18.58099942828856,79.47681485867292,79.47681485867292,98.31867447788001
5683,5.683568356835684,98.4498745070768,18.578447743919746,79.49874080236191,79.49874080236191,98.34047837970115
5684,5.6845684568456845,98.47450076324154,18.57858622495724,79.52066641658507,79.52066641658507,98.36208326995734
5685,5.685568556855686,98.5012494995415,18.57650316615952,79.54259170134355,79.54259170134355,98.38348147386372
5686,5.686568656865687,98.53113561046764,18.579986325013223,79.56451665663644,79.56451665663644,98.4052243331463
5687,5.687568756875687,98.54856858789483,18.57647875717795,79.58644128246306,79.58644128246306,98.42701662532427
5688,5.688568856885689,98.5680486200744,18.57275573610094,79.60836557882408,79.60836557882408,98.4488351827241
5689,5.689568956895689,98.58615641807471,18.574482313398462,79.63028954572087,79.63028954572087,98.47052969796945
5690,5.690569056905691,98.60462727144856,18.57326838539646,79.65221318315162,79.65221318315162,98.49239644064433
5691,5.691569156915691,98.62760272228759,18.57410176860837,79.71200319880468,79.71200319880468,98.51440838855207
5692,5.692569256925693,98.6499845634251,18.57288121378712,79.73413800608432,79.73413800608432,98.57099758908609
5693,5.6935693569356935,98.66093138137781,18.574553641697953,79.75627248076853,79.75627248076853,98.59285757075119
5694,5.694569456945694,98.68342955651292,18.570378772816987,79.77840662285598,79.77840662285598,98.61468108830026
5695,5.695569556955696,98.69881892473073,18.56707466721728,79.80054043234804,79.80054043234804,98.63670883557499
5696,5.696569656965696,98.71455375892906,18.567273455680812,79.8226739092454,79.8226739092454,98.65844480446631
5697,5.697569756975698,98.73963009149864,18.564274896533977,79.84480705354576,79.84480705354576,98.6802777136068
5698,5.698569856985698,98.76008740938714,18.561902420680475,79.86693986525074,79.86693986525074,98.70229008062411
5699,5.6995699569957,98.78473014987965,18.56360302450802,79.8890723443601,79.8890723443601,98.72399237540536
5700,5.7005700570057005,98.81019489517786,18.563068576340868,79.91120449087111,79.91120449087111,98.74592726573829
5701,5.701570157015702,98.83650896823504,18.566376316344098,79.95818506456413,79.95818506456413,98.76811376029558
5702,5.702570257025703,98.86041872248562,18.56582450429147,79.98077420850655,79.98077420850655,98.82322355577627
5703,5.703570357035703,98.88476671197118,18.56503650421899,80.00336301303855,80.00336301303855,98.84559688706366
5704,5.704570457045705,98.91093598482642,18.565472003621625,80.025951478161,80.025951478161,98.86785441749196
5705,5.705570557055705,98.93766370056174,18.56523429382014,80.04853960387459,80.04853960387459,98.89020526900542
5706,5.706570657065707,98.9544725826912,18.565123083932587,80.07112739017748,80.07112739017748,98.91282545632535
5707,5.7075707570757075,98.97386625141675,18.565525770834554,80.09371483707332,80.09371483707332,98.93557786317366
5708,5.708570857085709,98.99482473966518,18.56281272169373,80.11630194455734,80.11630194455734,98.95772945608863
5709,5.70957095709571,99.02273246772502,18.563805124182277,80.1388887126327,80.1388887126327,98.9805710668078
5710,5.71057105710571,99.05503709553142,18.56359998747878,80.1614751412992,80.1614751412992,99.00339136183612
5711,5.711571157115712,99.07693594425326,18.56186344916668,80.16154639508902,80.16154639508902,99.02599564304708
5712,5.712571257125712,99.10278655557649,18.563239718799455,80.1840760149862,80.1840760149862,99.03045562337931
5713,5.713571357135714,99.12601288801966,18.562327411308363,80.20660529639008,80.20660529639008,99.05354321666938
5714,5.7145714571457145,99.14551206001389,18.56198637739815,80.22913423930277,80.22913423930277,99.07647009438814
5715,5.715571557155716,99.17199443858885,18.560691755805898,80.25166284372312,80.25166284372312,99.09928738189646
5716,5.716571657165717,99.18909425840934,18.56151248533438,80.27419110965161,80.27419110965161,99.1217524302333
5717,5.717571757175717,99.2147887231861,18.561548530466904,80.29671903708709,80.29671903708709,99.14444449453484
5718,5.718571857185719,99.23916309890222,18.561466633924546,80.31924662603001,80.31924662603001,99.16690812373737
5719,5.719571957195719,99.26213186618516,18.562750057420185,80.3417738764806,80.3417738764806,99.18945047055665
5720,5.720572057205721,99.28699420211831,18.563893887404173,80.3643007884391,80.3643007884391,99.21175546804669
5721,5.721572157215721,99.31580049889773,18.563334342688638,80.41312575526179,80.41312575526179,99.23418334106175
5722,5.722572257225723,99.3435672594581,18.563149085657116,80.43586619683424,80.43586619683424,99.28829246703275
5723,5.7235723572357236,99.36808165920075,18.562686184188603,80.45860629677418,80.45860629677418,99.3110319370751
5724,5.724572457245724,99.38843427589414,18.55788811842448,80.48134605508176,80.48134605508176,99.33382606584766
5725,5.725572557255726,99.40488854623679,18.559334474937465,80.50408547175493,80.50408547175493,99.35609570386892
5726,5.726572657265726,99.42529756189455,18.557794604683973,80.52682454679575,80.52682454679575,99.37869901309283
5727,5.727572757275728,99.44426635508621,18.55677125170077,80.54956328020398,80.54956328020398,99.40125178407403
5728,5.728572857285728,99.45635386838072,18.553971823457292,80.57230167197895,80.57230167197895,99.4241800149991
5729,5.72957295729573,99.48589084895045,18.55456216387113,80.5950397221211,80.5950397221211,99.44680057074541
5730,5.7305730573057305,99.505446438117,18.5536069326411,80.61777743063112,80.61777743063112,99.46943169649228
